delivery_partner_id,total_deliveries,on_time_deliveries,avg_delay_mins,total_revenue,on_time_pct,performance_rating
4084,1,0,12.0,2856.32,0.0,Poor
4090,1,0,14.0,1276.51,0.0,Poor
4115,1,0,10.0,918.58,0.0,Poor
4116,1,0,2.0,2925.56,0.0,Poor
4129,1,1,-1.0,2931.03,100.0,Excellent
4135,1,1,-1.0,2817.03,100.0,Excellent
4160,1,1,-2.0,2515.16,100.0,Excellent
4185,1,1,-2.0,3105.35,100.0,Excellent
4219,1,0,11.0,2544.23,0.0,Poor
4230,1,1,-1.0,3775.69,100.0,Excellent
4233,1,1,-1.0,3420.13,100.0,Excellent
4235,1,0,2.0,2490.28,0.0,Poor
4260,1,1,-5.0,1525.58,100.0,Excellent
4285,1,0,3.0,727.87,0.0,Poor
4319,1,1,0.0,755.01,100.0,Excellent
4336,1,0,10.0,217.4,0.0,Poor
4338,1,0,5.0,1094.43,0.0,Poor
4344,1,1,0.0,2245.7,100.0,Excellent
4371,1,0,13.0,1888.04,0.0,Poor
4397,1,1,-1.0,864.94,100.0,Excellent
4457,1,1,0.0,556.35,100.0,Excellent
4469,1,0,19.0,1477.71,0.0,Poor
4506,1,0,2.0,1781.72,0.0,Poor
4535,1,0,1.0,4410.72,0.0,Poor
4543,1,1,0.0,1616.34,100.0,Excellent
4554,1,1,-4.0,342.66,100.0,Excellent
4558,1,0,12.0,2352.04,0.0,Poor
4601,1,1,-3.0,738.71,100.0,Excellent
4610,1,1,-3.0,1785.77,100.0,Excellent
4642,1,0,8.0,6173.45,0.0,Poor
4665,1,0,2.0,3340.23,0.0,Poor
4696,1,0,23.0,1475.75,0.0,Poor
4714,1,0,25.0,2037.05,0.0,Poor
4732,1,0,1.0,2385.36,0.0,Poor
4767,1,0,10.0,2379.82,0.0,Poor
4796,1,1,-3.0,3143.65,100.0,Excellent
4824,1,0,3.0,1856.75,0.0,Poor
4829,1,0,5.0,782.49,0.0,Poor
4851,1,1,-3.0,3204.57,100.0,Excellent
4852,1,0,4.0,4255.0,0.0,Poor
4873,1,0,1.0,1982.08,0.0,Poor
4874,1,0,1.0,3043.32,0.0,Poor
4886,1,0,22.0,1798.56,0.0,Poor
4904,1,1,0.0,505.5,100.0,Excellent
4917,1,0,2.0,3160.29,0.0,Poor
4941,1,1,-1.0,443.17,100.0,Excellent
4946,1,1,-2.0,957.11,100.0,Excellent
4985,1,1,-3.0,4304.71,100.0,Excellent
5005,1,0,24.0,355.96,0.0,Poor
5013,1,1,-2.0,2328.2,100.0,Excellent
5023,1,1,-5.0,2248.63,100.0,Excellent
5041,1,1,-5.0,572.02,100.0,Excellent
5098,1,0,14.0,2756.32,0.0,Poor
5103,1,0,13.0,2353.53,0.0,Poor
5117,1,0,2.0,3115.43,0.0,Poor
5141,1,1,0.0,3983.77,100.0,Excellent
5165,1,1,0.0,1091.67,100.0,Excellent
5169,1,0,18.0,1980.99,0.0,Poor
5188,1,0,14.0,2452.82,0.0,Poor
5218,1,1,0.0,3280.88,100.0,Excellent
5220,1,0,2.0,580.18,0.0,Poor
5226,1,1,-4.0,1009.42,100.0,Excellent
5230,1,0,1.0,987.51,0.0,Poor
5235,1,0,1.0,3206.64,0.0,Poor
5286,1,1,-2.0,4536.47,100.0,Excellent
5307,1,0,7.0,2982.06,0.0,Poor
5319,1,0,4.0,923.43,0.0,Poor
5320,1,0,8.0,1938.5,0.0,Poor
5328,1,1,-5.0,2280.3,100.0,Excellent
5355,1,0,5.0,988.35,0.0,Poor
5364,1,0,4.0,4190.02,0.0,Poor
5380,1,1,-4.0,3829.3,100.0,Excellent
5444,1,0,5.0,4238.73,0.0,Poor
5451,1,1,-3.0,1424.69,100.0,Excellent
5497,1,0,5.0,1022.7,0.0,Poor
5503,1,1,-4.0,2197.24,100.0,Excellent
5515,1,0,2.0,3895.71,0.0,Poor
5568,1,1,-5.0,1715.44,100.0,Excellent
5577,1,1,-1.0,2865.04,100.0,Excellent
5623,1,1,-4.0,4040.43,100.0,Excellent
5633,1,0,4.0,1004.68,0.0,Poor
5643,1,0,3.0,752.3,0.0,Poor
5676,1,0,16.0,2839.24,0.0,Poor
5694,1,1,-2.0,1861.71,100.0,Excellent
5718,1,1,0.0,340.36,100.0,Excellent
5754,1,0,6.0,1421.52,0.0,Poor
5755,1,0,24.0,1275.88,0.0,Poor
5762,1,1,-1.0,2542.21,100.0,Excellent
5779,1,0,1.0,2577.15,0.0,Poor
5783,1,0,19.0,671.55,0.0,Poor
5799,1,0,7.0,1450.75,0.0,Poor
5821,1,1,-3.0,949.73,100.0,Excellent
5888,1,0,5.0,400.92,0.0,Poor
5891,1,0,2.0,3773.66,0.0,Poor
5892,1,0,12.0,1456.54,0.0,Poor
5897,1,1,-4.0,3171.87,100.0,Excellent
5907,1,0,4.0,1105.29,0.0,Poor
5912,1,1,-3.0,2600.22,100.0,Excellent
5923,1,0,2.0,3536.35,0.0,Poor
5951,1,0,1.0,2020.61,0.0,Poor
5981,1,0,12.0,1064.76,0.0,Poor
5998,1,1,-3.0,3980.78,100.0,Excellent
6040,1,0,6.0,367.08,0.0,Poor
6074,1,0,3.0,3710.55,0.0,Poor
6083,1,0,7.0,2461.13,0.0,Poor
6106,1,1,-2.0,1914.71,100.0,Excellent
6118,1,0,1.0,1439.56,0.0,Poor
6125,1,1,-4.0,2672.4,100.0,Excellent
6217,1,1,-2.0,3512.23,100.0,Excellent
6230,1,0,6.0,644.8,0.0,Poor
6245,1,1,-2.0,4414.19,100.0,Excellent
6246,1,1,0.0,5122.1,100.0,Excellent
6251,1,1,-1.0,3656.06,100.0,Excellent
6267,1,1,-5.0,1793.58,100.0,Excellent
6274,1,1,0.0,1495.19,100.0,Excellent
6277,1,1,-5.0,223.27,100.0,Excellent
6285,1,0,19.0,3830.72,0.0,Poor
6292,1,0,6.0,5578.4,0.0,Poor
6321,1,1,-4.0,3025.0,100.0,Excellent
6325,1,0,1.0,2419.46,0.0,Poor
6336,1,0,15.0,46.62,0.0,Poor
6351,1,1,-5.0,1372.1,100.0,Excellent
6378,1,0,8.0,918.58,0.0,Poor
6379,1,0,5.0,3112.14,0.0,Poor
6390,1,1,0.0,1591.23,100.0,Excellent
6400,1,1,-1.0,1663.96,100.0,Excellent
6452,1,1,0.0,1742.44,100.0,Excellent
6504,1,1,-3.0,2088.54,100.0,Excellent
6531,1,1,0.0,2211.21,100.0,Excellent
6556,1,0,1.0,959.01,0.0,Poor
6560,1,0,2.0,843.97,0.0,Poor
6565,1,0,16.0,2515.48,0.0,Poor
6570,1,0,13.0,3392.98,0.0,Poor
6583,1,1,-5.0,2577.7,100.0,Excellent
6600,1,0,5.0,2028.78,0.0,Poor
6620,1,0,2.0,2027.04,0.0,Poor
6632,1,1,-1.0,2036.3,100.0,Excellent
6677,1,1,0.0,2799.31,100.0,Excellent
6698,1,0,3.0,552.2,0.0,Poor
6710,1,1,-2.0,374.68,100.0,Excellent
6735,1,0,13.0,1784.61,0.0,Poor
6790,1,0,3.0,1614.08,0.0,Poor
6805,1,1,0.0,1599.11,100.0,Excellent
6845,1,0,4.0,1876.69,0.0,Poor
6848,1,0,15.0,1524.99,0.0,Poor
6854,1,1,-2.0,1833.25,100.0,Excellent
6857,1,1,0.0,1361.67,100.0,Excellent
6878,1,0,15.0,941.25,0.0,Poor
6882,1,1,0.0,1554.85,100.0,Excellent
6964,1,0,11.0,163.03,0.0,Poor
6966,1,0,3.0,1832.58,0.0,Poor
7004,1,0,11.0,707.67,0.0,Poor
7013,1,1,-1.0,3092.96,100.0,Excellent
7028,1,1,-4.0,4306.01,100.0,Excellent
7047,1,1,0.0,888.04,100.0,Excellent
7048,1,0,1.0,3090.15,0.0,Poor
7052,1,1,-1.0,1409.38,100.0,Excellent
7068,1,0,1.0,3346.47,0.0,Poor
7081,1,1,-1.0,1358.19,100.0,Excellent
7117,1,0,25.0,3115.94,0.0,Poor
7124,1,1,-5.0,1480.41,100.0,Excellent
7176,1,0,2.0,2499.3,0.0,Poor
7186,1,1,-5.0,340.66,100.0,Excellent
7250,1,0,5.0,2854.52,0.0,Poor
7285,1,1,-2.0,1435.56,100.0,Excellent
7296,1,1,-2.0,923.84,100.0,Excellent
7299,1,1,-1.0,3219.23,100.0,Excellent
7428,1,1,0.0,37.8,100.0,Excellent
7467,1,0,13.0,1441.13,0.0,Poor
7481,1,0,1.0,1296.1,0.0,Poor
7484,1,1,-5.0,1547.91,100.0,Excellent
7486,1,0,5.0,3778.46,0.0,Poor
7489,1,0,11.0,3469.84,0.0,Poor
7493,1,0,22.0,83.18,0.0,Poor
7496,1,1,-1.0,5692.84,100.0,Excellent
7507,1,1,-5.0,2375.75,100.0,Excellent
7531,1,1,-5.0,2417.68,100.0,Excellent
7581,1,1,-4.0,3299.24,100.0,Excellent
7632,1,0,19.0,3339.57,0.0,Poor
7643,1,1,-2.0,275.03,100.0,Excellent
7676,1,0,17.0,3310.78,0.0,Poor
7713,1,0,13.0,4220.5,0.0,Poor
7752,1,0,10.0,3442.8,0.0,Poor
7758,1,0,3.0,4439.75,0.0,Poor
7809,1,0,12.0,1473.88,0.0,Poor
7822,1,0,11.0,3837.24,0.0,Poor
7867,1,1,-1.0,795.26,100.0,Excellent
7902,1,0,1.0,2054.43,0.0,Poor
7906,1,1,-2.0,77.11,100.0,Excellent
7912,1,0,1.0,3456.8,0.0,Poor
7924,1,0,12.0,1495.9,0.0,Poor
7931,1,0,11.0,3379.0,0.0,Poor
7933,1,1,-3.0,2799.39,100.0,Excellent
7967,1,1,-4.0,2054.4,100.0,Excellent
8022,1,1,-1.0,3494.42,100.0,Excellent
8035,1,0,19.0,3383.58,0.0,Poor
8041,1,1,-1.0,1756.7,100.0,Excellent
8043,1,0,3.0,1596.47,0.0,Poor
8079,1,0,4.0,3194.98,0.0,Poor
8083,1,0,5.0,1253.07,0.0,Poor
8096,1,1,-4.0,1481.99,100.0,Excellent
8123,1,1,-2.0,1266.29,100.0,Excellent
8124,1,0,2.0,447.28,0.0,Poor
8135,1,0,2.0,1931.35,0.0,Poor
8171,1,0,2.0,1515.64,0.0,Poor
8227,1,1,-4.0,2961.15,100.0,Excellent
8244,1,0,5.0,5062.63,0.0,Poor
8248,1,0,4.0,3288.07,0.0,Poor
8253,1,0,5.0,2777.11,0.0,Poor
8263,1,1,-1.0,4702.15,100.0,Excellent
8264,1,0,3.0,2539.66,0.0,Poor
8271,1,0,3.0,2339.17,0.0,Poor
8275,1,0,13.0,3332.9,0.0,Poor
8281,1,1,-3.0,1804.06,100.0,Excellent
8299,1,1,-5.0,891.13,100.0,Excellent
8300,1,1,-4.0,1297.95,100.0,Excellent
8303,1,1,-3.0,2930.34,100.0,Excellent
8313,1,0,16.0,4827.19,0.0,Poor
8377,1,0,10.0,2302.23,0.0,Poor
8455,1,0,9.0,2970.0,0.0,Poor
8459,1,1,-4.0,1279.7,100.0,Excellent
8472,1,0,19.0,1168.51,0.0,Poor
8506,1,0,4.0,494.48,0.0,Poor
8510,1,0,4.0,3233.68,0.0,Poor
8522,1,0,17.0,354.52,0.0,Poor
8541,1,1,-2.0,2010.29,100.0,Excellent
8553,1,0,1.0,1241.11,0.0,Poor
8566,1,0,9.0,2255.0,0.0,Poor
8589,1,0,2.0,294.79,0.0,Poor
8594,1,0,1.0,3176.5,0.0,Poor
8612,1,0,4.0,1976.63,0.0,Poor
8620,1,1,0.0,5015.88,100.0,Excellent
8626,1,0,3.0,2008.62,0.0,Poor
8630,1,0,1.0,2092.13,0.0,Poor
8665,1,1,-3.0,697.53,100.0,Excellent
8666,1,0,6.0,942.24,0.0,Poor
8679,1,0,4.0,1198.32,0.0,Poor
8681,1,0,2.0,2337.12,0.0,Poor
8691,1,0,28.0,634.18,0.0,Poor
8704,1,0,9.0,2054.08,0.0,Poor
8734,1,0,1.0,2656.43,0.0,Poor
8736,1,0,5.0,3851.22,0.0,Poor
8763,1,1,-4.0,1308.92,100.0,Excellent
8766,1,1,-1.0,1944.29,100.0,Excellent
8790,1,0,4.0,3284.15,0.0,Poor
8803,1,1,-5.0,2090.0,100.0,Excellent
8862,1,0,7.0,4160.4,0.0,Poor
8867,1,0,5.0,3410.21,0.0,Poor
8874,1,0,2.0,1626.93,0.0,Poor
8883,1,1,-4.0,2006.71,100.0,Excellent
8913,1,0,30.0,2599.65,0.0,Poor
8965,1,0,10.0,1300.47,0.0,Poor
8970,1,0,1.0,2555.89,0.0,Poor
8991,1,0,15.0,2599.64,0.0,Poor
8994,1,0,2.0,3536.94,0.0,Poor
9053,1,1,0.0,726.41,100.0,Excellent
9118,1,1,-3.0,2780.39,100.0,Excellent
9121,1,1,-2.0,508.0,100.0,Excellent
9182,1,0,22.0,3075.26,0.0,Poor
9198,1,1,-4.0,3327.67,100.0,Excellent
9261,1,0,2.0,439.98,0.0,Poor
9294,1,0,1.0,1134.0,0.0,Poor
9310,1,0,2.0,325.08,0.0,Poor
9342,1,0,8.0,1540.67,0.0,Poor
9368,1,0,14.0,4229.93,0.0,Poor
9399,1,0,4.0,2500.44,0.0,Poor
9443,1,1,-2.0,1507.92,100.0,Excellent
9528,1,0,9.0,2444.79,0.0,Poor
9546,1,0,8.0,1337.06,0.0,Poor
9562,1,1,0.0,1673.85,100.0,Excellent
9590,1,0,3.0,3158.35,0.0,Poor
9599,1,1,-1.0,1082.76,100.0,Excellent
9630,1,1,-5.0,4469.56,100.0,Excellent
9658,1,1,-4.0,1920.42,100.0,Excellent
9665,1,0,2.0,2561.18,0.0,Poor
9667,1,0,3.0,3669.77,0.0,Poor
9689,1,0,10.0,633.25,0.0,Poor
9712,1,1,-4.0,2532.31,100.0,Excellent
9720,1,1,0.0,1891.03,100.0,Excellent
9722,1,1,0.0,2389.3,100.0,Excellent
9727,1,1,-2.0,3902.46,100.0,Excellent
9731,1,1,-5.0,2956.03,100.0,Excellent
9753,1,1,-5.0,154.53,100.0,Excellent
9779,1,1,-2.0,445.48,100.0,Excellent
9785,1,0,11.0,1887.36,0.0,Poor
9882,1,0,5.0,4682.76,0.0,Poor
9886,1,0,10.0,758.75,0.0,Poor
9894,1,0,2.0,5868.92,0.0,Poor
9898,1,0,1.0,3606.96,0.0,Poor
9915,1,0,29.0,1861.22,0.0,Poor
9937,1,1,-3.0,2783.14,100.0,Excellent
9955,1,0,22.0,1348.39,0.0,Poor
10006,1,0,4.0,1983.84,0.0,Poor
10007,1,0,24.0,1796.1,0.0,Poor
10021,1,1,-4.0,1207.74,100.0,Excellent
10059,1,0,4.0,2763.17,0.0,Poor
10076,1,1,-5.0,1441.9,100.0,Excellent
10089,1,0,2.0,3401.69,0.0,Poor
10112,1,1,-3.0,2858.4,100.0,Excellent
10118,1,0,8.0,1921.19,0.0,Poor
10121,1,1,-2.0,239.54,100.0,Excellent
10154,1,0,18.0,3202.58,0.0,Poor
10170,1,0,13.0,477.12,0.0,Poor
10176,1,0,3.0,849.48,0.0,Poor
10177,1,1,-3.0,4471.32,100.0,Excellent
10184,1,0,10.0,1217.39,0.0,Poor
10210,1,0,2.0,1989.47,0.0,Poor
10214,1,0,6.0,4346.56,0.0,Poor
10225,1,0,6.0,3092.93,0.0,Poor
10234,1,0,5.0,1278.25,0.0,Poor
10246,1,0,5.0,3124.37,0.0,Poor
10255,1,0,10.0,4049.8,0.0,Poor
10265,1,0,15.0,923.84,0.0,Poor
10305,1,1,-4.0,3273.77,100.0,Excellent
10306,1,1,-1.0,1467.19,100.0,Excellent
10315,1,0,2.0,3266.0,0.0,Poor
10351,1,0,10.0,1692.4,0.0,Poor
10352,1,0,5.0,4471.64,0.0,Poor
10368,1,1,-4.0,878.07,100.0,Excellent
10377,1,0,2.0,3828.04,0.0,Poor
10385,1,1,0.0,2248.31,100.0,Excellent
10391,1,1,0.0,4108.93,100.0,Excellent
10416,1,0,14.0,1543.49,0.0,Poor
10442,1,0,5.0,4304.12,0.0,Poor
10460,1,0,27.0,729.0,0.0,Poor
10502,1,0,15.0,2132.32,0.0,Poor
10552,1,1,-5.0,1919.23,100.0,Excellent
10642,1,0,5.0,904.88,0.0,Poor
10652,1,1,-4.0,4132.1,100.0,Excellent
10688,1,1,0.0,242.57,100.0,Excellent
10693,1,0,5.0,2400.93,0.0,Poor
10714,1,0,2.0,671.55,0.0,Poor
10746,1,1,-2.0,2619.2,100.0,Excellent
10750,1,0,16.0,625.45,0.0,Poor
10758,1,0,12.0,877.48,0.0,Poor
10759,1,0,28.0,5123.33,0.0,Poor
10769,1,0,10.0,2046.92,0.0,Poor
10778,1,0,2.0,340.36,0.0,Poor
10817,1,1,-3.0,3219.23,100.0,Excellent
10844,1,0,10.0,910.44,0.0,Poor
10898,1,0,5.0,3196.92,0.0,Poor
10923,1,1,-1.0,909.62,100.0,Excellent
10930,1,1,0.0,402.11,100.0,Excellent
10931,1,1,-2.0,3737.72,100.0,Excellent
10949,1,1,-1.0,316.02,100.0,Excellent
10954,1,0,5.0,2092.55,0.0,Poor
10976,1,0,4.0,53.49,0.0,Poor
11008,1,0,24.0,1587.18,0.0,Poor
11031,1,0,14.0,2592.28,0.0,Poor
11046,1,1,-1.0,2739.91,100.0,Excellent
11048,1,0,12.0,452.6,0.0,Poor
11051,1,0,5.0,1246.63,0.0,Poor
11061,1,1,-1.0,2039.04,100.0,Excellent
11074,1,1,-5.0,3778.85,100.0,Excellent
11104,1,0,8.0,163.55,0.0,Poor
11126,1,0,3.0,3478.04,0.0,Poor
11129,1,0,7.0,329.79,0.0,Poor
11130,1,1,0.0,950.39,100.0,Excellent
11136,1,0,1.0,2732.91,0.0,Poor
11180,1,0,2.0,1100.8,0.0,Poor
11186,1,0,7.0,1816.98,0.0,Poor
11218,1,1,-2.0,1822.73,100.0,Excellent
11250,1,0,8.0,866.17,0.0,Poor
11268,1,1,-2.0,2534.35,100.0,Excellent
11276,1,0,5.0,277.76,0.0,Poor
11295,1,0,25.0,381.39,0.0,Poor
11326,1,0,4.0,1378.13,0.0,Poor
11353,1,1,0.0,1671.67,100.0,Excellent
11366,1,0,11.0,2660.73,0.0,Poor
11379,1,1,-4.0,2396.22,100.0,Excellent
11382,1,1,-5.0,4277.29,100.0,Excellent
11412,1,0,4.0,3869.92,0.0,Poor
11413,1,1,-4.0,2128.53,100.0,Excellent
11420,1,0,3.0,2496.85,0.0,Poor
